,2014,2015,2016,2017,2018,2019,2020,2021
10,693762,712929,746100,770613,792765,817859,758087,810204
11,221,192,167,146,155,155,161,188
111,78,35,39,28,33,46,38,71
1112,37.22043369327584,3.388310078765495,4.500000000025834,3.7630808095170174,4.656114903703566,2.6969637616289983,5.255369824923302,6.089330180023275
11121,37.22043369327584,3.388310078765495,4.500000000025834,3.7630808095170174,4.656114903703566,2.6969637616289983,5.255369824923302,6.089330180023275
111219,37.22043369327584,3.388310078765495,4.500000000025834,3.7630808095170174,4.656114903703566,2.6969637616289983,5.255369824923302,6.089330180023275
1113,,,,,2.185939685997928,15,7.744630175063007,8.910669819956972
11133,,,,,2.185939685997928,15,7.744630175063007,8.910669819956972
111335,,,,,,5.0,2.5815433916876684,4.455334909978486
111336,,,,,,5.0,2.5815433916876684,
111339,,,,,2.185939685997928,5.0,2.5815433916876684,4.455334909978485
1114,20,28,30,22,22,25,17,16
11141,8.347500542885976,10.301625522722013,11.070467536920331,8.634134778865894,7.446014662045954,14.461634067744061,8.49999999991737,7.288128061569581
111411,,,,,,3.6086885889493905,,
111419,8.347500542885976,10.301625522722013,11.070467536920331,8.634134778865894,7.446014662045954,10.85294547879467,8.49999999991737,7.288128061569581
11142,11.652499457114024,17.698374477277994,18.92953246307967,13.365865221134104,14.553985337954042,10.538365932255939,8.500000000082629,8.71187193843042
111421,5.300936234668548,10.665236552191992,11.060648787318254,8.907322276624717,10.582404534580546,10.538365932255939,8.500000000082629,8.71187193843042
111422,6.351563222445476,7.0331379250860016,7.868883675761418,4.458542944509389,3.971580803373499,0.0,,
1119,20.779566306733418,3.611689921227422,4.500000000025834,2.2369191904747985,4.157945410303888,3.3030362383595078,8,40
11192,0.0,,,,,,,
111920,0.0,,,,,,,
11193,,,,,,,2.2041477271500063,3.000000000008774
111930,,,,,,,2.2041477271500063,3.000000000008774
11194,,,,,2.078972705125047,1.330643596417425,2.2041477271500063,2.9999999999912266
111940,,,,,2.078972705125047,1.330643596417425,2.2041477271500063,2.9999999999912266
11199,20.779566306733418,3.611689921227422,4.500000000025834,2.2369191904747985,2.0789727051788414,1.9723926419420827,3.5917045456999883,34
111998,20.779566306733418,3.611689921227422,4.500000000025834,2.2369191904747985,2.0789727051788414,1.9723926419420827,3.5917045456999883,34
112,29,28,29,21,24,14,8,8
1121,6.409810337150058,6.013099699326848,5.672647559872506,5.7055331519428165,6.499312516742286,4.442222666885615,2.25074594123467,2.57218970120134
11211,6.409810337150058,6.013099699326848,5.672647559872506,5.7055331519428165,6.499312516742286,4.442222666885615,2.25074594123467,2.57218970120134
112111,6.409810337150058,6.013099699326848,5.672647559872506,5.7055331519428165,6.499312516742286,4.442222666885615,2.25074594123467,2.57218970120134
1123,6.058612538215962,7.009927976103226,7.868843638968949,5.7055331519428165,6.499312516742286,4.442222666885615,2.25074594123467,2.8556205975973197
11234,6.058612538215962,7.009927976103226,7.868843638968949,5.7055331519428165,6.499312516742286,4.442222666885615,2.25074594123467,2.8556205975973197
112340,6.058612538215962,7.009927976103226,7.868843638968949,5.7055331519428165,6.499312516742286,4.442222666885615,2.25074594123467,2.8556205975973197
1124,6.409810337150058,6.013099699326848,5.672647559872506,3.2633390964425812,3.7390706109103378,2.5577773331143834,1.7492540587653294,0.0
11241,6.409810337150058,6.013099699326848,5.672647559872506,3.2633390964425812,3.7390706109103378,2.5577773331143834,1.7492540587653294,0.0
112410,6.409810337150058,6.013099699326848,5.672647559872506,3.2633390964425812,3.7390706109103378,2.5577773331143834,1.7492540587653294,0.0
1129,10.121766787483917,8.96387262524308,9.785861241286039,6.325594599671783,7.26230435560509,2.5577773331143834,1.7492540587653294,2.57218970120134
11292,4.687203229734025,8.96387262524308,4.892930620643019,3.1627972998358915,3.631152177802545,2.5577773331143834,1.7492540587653294,2.57218970120134
112920,4.687203229734025,8.96387262524308,4.892930620643019,3.1627972998358915,3.631152177802545,2.5577773331143834,1.7492540587653294,2.57218970120134
11299,5.434563557749892,,4.892930620643019,3.1627972998358915,3.631152177802545,,,
112990,5.434563557749892,,4.892930620643019,3.1627972998358915,3.631152177802545,,,
113,63,63,28,29,24,27,37,33
1131,41,39,11.884823699479607,9.414377967575476,7.895936881427433,6.3026922792646,6.600559011788099,1.4999999999948135
11311,41,39,11.884823699479607,9.414377967575476,7.895936881427433,6.3026922792646,6.600559011788099,1.4999999999948133
113110,41,39,11.884823699479607,9.414377967575476,7.895936881427433,6.3026922792646,6.600559011788099,1.4999999999948133
1132,,,,,,,,1.500000000005186
11321,,,,,,,,1.500000000005186
113210,,,,,,,,1.5000000000051859
1133,22,24,16.11517630052039,19.585622032424524,16.10406311857257,20.697307720735395,30.399440988211893,30
11331,22,24,16.11517630052039,19.585622032424524,16.10406311857257,20.697307720735395,30.399440988211893,30
113310,22,24,16.11517630052039,19.585622032424524,16.10406311857257,20.697307720735395,30.399440988211893,30
115,51,66,71,68,74,68,78,76
1151,8.721401349813924,3.9066794951112978,4.334546959623347,4.640153331491511,7.196036383339612,8.95078070107658,9.262946795191489,9.753721026548845
11511,8.721401349813924,3.9066794951112978,4.334546959623347,4.640153331491511,7.196036383339612,8.95078070107658,9.262946795191489,9.753721026548845
115112,4.1160229857513295,1.9661783296382567,1.9188360082229505,0.0,2.0395714497539608,2.237695175269145,2.3157366987978723,5.595693404938379
115114,4.605378364062594,1.9405011654730409,2.4157109514003965,4.640153331491511,3.11689348383169,2.237695175269145,2.3157366987978723,4.158027621610468
115115,,,,,2.0395714497539608,2.237695175269145,2.3157366987978723,0.0
115116,,,,,,2.237695175269145,2.3157366987978723,0.0
1152,36,59,63,57,61,53,63,58
11521,36,59,63,57,61,53,63,58
115210,36,59,63,57,61,53,63,58
1153,6.278598650186075,3.093320504888702,3.665453040376654,6.359846668508489,5.803963616660388,6.049219298923419,5.737053204808512,8.246278973451155
11531,6.278598650186075,3.093320504888702,3.665453040376654,6.359846668508489,5.803963616660388,6.049219298923419,5.737053204808512,8.246278973451155
115310,6.278598650186075,3.093320504888702,3.665453040376654,6.359846668508489,5.803963616660388,6.049219298923419,5.737053204808512,8.246278973451155
21,85,138,352,189,218,200,188,330
212,52.877586022629444,79.45927347053686,201.31535218854006,139.6750565534101,161.24393416197,154.28890191088388,152.41661184258362,262.93267681327984
2123,52.877586022629444,79.45927347053686,201.31535218854006,139.6750565534101,161.24393416197,154.28890191088388,152.41661184258362,262.93267681327984
21231,52.877586022629444,79.45927347053686,120,116.69446099473247,152,137,134,149
212313,35.06384095391685,60.84730734075563,85.78708001549262,93.0529347293263,120.29472866129684,108.68520476937123,105.61653273882726,123.80907459925233
212319,17.813745068712574,18.611966129781223,34.21291998450738,23.64152626540617,31.705271338703135,28.314795230628782,28.38346726117272,25.190925400747687
21232,,,81.31535218854006,22.980595558677653,9.243934161970039,17.288901910883844,8.83248429162989,70.16542866030689
212324,,,,22.980595558677653,9.243934161970039,17.288901910883844,8.83248429162989,70.16542866030689
212325,,,81.31535218854006,0.0,,,,
21239,,,,,,,9.584127550953722,43.7672481529729
212391,,,,,,,4.792063775476861,21.88362407648645
212399,,,,,,,4.792063775476861,21.88362407648645
