,2014,2015,2016,2017,2018,2019,2020,2021
10,3305,3330,3424,3567,4336,4421,4015,3827
11,125.166182496857,161.0239984896875,27,100.65022809070716,20,102,106,17
111,19.011100322298834,20.586795944531314,4.193446704875071,16.140297712651094,5.389786825764999,23.952005984507608,32.00000000011166,3.5581014404430547
1113,,,,,2.6948934128824993,11.976002992253804,16.00000000005583,1.7790507202215275
11133,,,,,2.6948934128824993,11.976002992253804,16.00000000005583,1.7790507202215275
111335,,,,,2.6948934128824993,11.976002992253804,16.00000000005583,1.7790507202215275
1114,19.011100322298834,20.586795944531314,4.193446704875071,16.140297712651094,2.6948934128824993,11.976002992253804,16.00000000005583,1.7790507202215275
11142,19.011100322298834,20.586795944531314,4.193446704875071,16.140297712651094,2.6948934128824993,11.976002992253804,16.00000000005583,1.7790507202215275
111421,19.011100322298834,20.586795944531314,4.193446704875071,16.140297712651094,2.6948934128824993,11.976002992253804,16.00000000005583,1.7790507202215275
112,19.011100322298834,20.586795944531314,4.193446704875071,16.140297712651094,3.005069459695736,23.9520059840577,31.999999999951566,1.883797119543445
1123,,,,,,11.976002992028851,15.999999999975783,
11232,,,,,,11.976002992028851,15.999999999975783,
112320,,,,,,11.976002992028851,15.999999999975783,
1129,19.011100322298834,20.586795944531314,4.193446704875071,16.140297712651094,3.005069459695736,11.976002992028851,15.999999999975783,1.883797119543445
11292,19.011100322298834,20.586795944531314,4.193446704875071,16.140297712651094,3.005069459695736,11.976002992028851,15.999999999975783,1.883797119543445
112920,19.011100322298834,20.586795944531314,4.193446704875071,16.140297712651094,3.005069459695736,11.976002992028851,15.999999999975783,1.883797119543445
113,34.24014298904405,60.654674287519,9.91275711392194,52.229334952753874,6.2153568888071735,30.143982047372297,10,8
1131,,,,,,,3.9087012597661306,3.2136073098397913
11311,,,,,,,3.9087012597661306,3.2136073098397913
113110,,,,,,,3.9087012597661306,3.2136073098397913
1133,34.24014298904405,60.654674287519,9.91275711392194,52.229334952753874,6.2153568888071735,30.143982047372297,6.09129874023387,4.786392690160209
11331,34.24014298904405,60.654674287519,9.91275711392194,52.229334952753874,6.2153568888071735,30.143982047372297,6.09129874023387,4.786392690160209
113310,34.24014298904405,60.654674287519,9.91275711392194,52.229334952753874,6.2153568888071735,30.143982047372297,6.09129874023387,4.786392690160209
115,52.903838863215235,59.19573231310588,8.70034947632792,16.140297712651094,5.389786825732086,23.952005984062396,31.99999999993676,3.5581014400134996
1151,,,,,2.6948934128660436,11.9760029920312,15.99999999996838,1.77905072000675
11511,,,,,2.6948934128660436,11.9760029920312,15.99999999996838,1.77905072000675
115112,,,,,2.6948934128660436,11.9760029920312,15.99999999996838,1.77905072000675
1152,18.90446896233461,20.578871586194758,3.789851294348399,,,,,
11521,18.90446896233461,20.578871586194758,3.789851294348399,,,,,
115210,18.90446896233461,20.578871586194758,3.789851294348399,,,,,
1153,33.99936990088062,38.61686072691112,4.910498181979522,16.140297712651094,2.6948934128660436,11.9760029920312,15.99999999996838,1.77905072000675
11531,33.99936990088062,38.61686072691112,4.910498181979522,16.140297712651094,2.6948934128660436,11.9760029920312,15.99999999996838,1.77905072000675
