,2014,2015,2016,2017,2018,2019,2020,2021,MAD
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1516.7,1849.7,1982.4,2039.6,6445.3,6516.6,994.8,1281.3,2828.3
111,541.4,666.2,437.0,374.7,607.2,222.7,258.3,224.2,416.5
1111,104.1,230.4,73.7,237.1,183.7,169.2,77.9,32.2,138.5
11111,25.5,71.4,48.0,28.1,45.1,19.3,7.4,5.6,31.3
111110,25.5,71.4,48.0,28.1,45.1,19.3,7.4,5.6,31.3
11113,0.4,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.3
111130,0.4,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.3
11114,15.6,10.7,23.0,21.6,22.8,21.1,17.2,9.3,17.7
111140,15.6,10.7,23.0,21.6,22.8,21.1,17.2,9.3,17.7
11115,29.2,86.2,29.7,164.8,76.8,106.2,33.7,20.2,68.3
111150,29.2,86.2,29.7,164.8,76.8,106.2,33.7,20.2,68.3
11119,33.4,62.1,34.3,22.5,39.0,22.7,19.6,15.7,31.2
111191,43.8,63.3,25.9,1.3,11.2,17.7,10.5,4.3,22.2
111199,10.4,1.1,8.5,23.8,27.8,5.0,9.1,11.4,12.1
1112,155.8,208.8,27.5,174.2,32.9,12.9,61.4,122.5,99.5
11121,155.8,208.8,27.5,174.2,32.9,12.9,61.4,122.5,99.5
111211,21.7,15.6,35.3,46.7,59.7,45.6,15.3,16.4,32.0
111219,177.6,224.4,62.9,220.9,26.8,58.5,76.7,139.0,123.3
1113,116.5,77.5,21.3,35.1,143.6,125.8,36.2,100.6,82.1
11132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.8
111320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.8
11133,116.5,77.5,21.3,35.1,143.6,125.8,36.2,115.1,83.9
111331,124.5,103.6,23.6,31.3,37.5,34.0,80.1,63.9,62.3
111332,14.2,4.5,36.1,35.6,33.9,28.3,54.2,91.0,37.2
111333,5.5,47.9,12.1,15.0,58.1,54.1,7.8,4.8,25.7
111334,85.7,91.8,22.9,55.4,101.4,99.2,49.3,104.4,76.2
111335,34.5,0.3,142.5,39.2,171.4,150.2,9.6,47.1,74.4
111336,11.3,27.6,18.5,46.2,1.3,10.9,77.9,61.6,31.9
111339,120.6,90.7,125.9,102.8,68.8,74.7,63.2,26.2,84.1
1114,5.3,34.1,125.1,378.0,211.0,407.2,256.1,426.3,230.4
11141,23.8,13.7,35.0,5.4,57.7,15.3,11.1,40.5,25.3
111411,37.5,1.8,53.6,76.9,69.4,69.2,65.4,11.5,48.2
111419,13.6,11.9,18.7,71.4,127.0,84.5,54.4,29.0,51.3
11142,29.2,20.4,160.1,383.4,153.3,391.9,267.2,385.8,223.9
111421,119.2,69.8,211.4,360.9,233.2,363.0,197.2,304.5,232.4
111422,90.1,49.4,51.3,22.5,79.9,28.9,70.0,81.3,59.2
1119,403.2,338.6,439.6,376.6,523.7,322.0,338.9,395.1,392.2
11191,24.3,68.4,52.2,35.0,25.7,9.4,11.4,0.3,28.3
111910,24.3,68.4,52.2,35.0,25.7,9.4,11.4,0.3,28.3
11192,79.4,26.0,74.8,104.7,168.1,115.3,59.8,110.3,92.3
111920,79.4,26.0,74.8,104.7,168.1,115.3,59.8,110.3,92.3
11193,10.5,7.7,1.3,8.5,5.5,6.5,6.9,12.8,7.4
111930,10.5,7.7,1.3,8.5,5.5,6.5,6.9,12.8,7.4
11194,61.5,60.1,73.7,78.8,67.1,50.1,70.2,49.0,63.8
111940,61.5,60.1,73.7,78.8,67.1,50.1,70.2,49.0,63.8
11199,227.5,228.4,240.3,166.5,257.4,153.7,204.4,248.4,215.8
111992,116.6,153.9,219.5,182.4,204.3,167.2,132.1,139.8,164.5
111998,110.9,74.6,20.8,15.9,53.0,13.5,72.3,108.6,58.7
112,228.1,38.4,258.3,311.2,378.8,127.0,44.2,42.8,178.6
1121,514.2,568.6,603.8,612.6,657.4,485.7,305.4,412.4,520.0
11211,532.1,542.8,528.7,543.4,488.4,349.6,413.9,512.0,488.9
112111,540.0,550.7,546.1,527.8,477.3,328.9,397.6,497.2,483.2
112112,7.9,7.9,17.5,15.6,11.1,20.7,16.3,14.8,14.0
11212,18.0,25.8,75.2,69.2,169.0,136.0,108.6,99.6,87.7
112120,18.0,25.8,75.2,69.2,169.0,136.0,108.6,99.6,87.7
1122,91.8,37.9,60.5,64.8,20.4,42.7,64.4,56.0,54.8
11221,91.8,37.9,60.5,64.8,20.4,42.7,64.4,56.0,54.8
112210,91.8,37.9,60.5,64.8,20.4,42.7,64.4,56.0,54.8
1123,706.7,859.9,677.1,629.3,592.9,1060.2,773.3,899.7,774.9
11231,292.3,385.8,362.6,343.0,371.4,367.8,281.6,195.6,325.0
112310,292.3,385.8,362.6,343.0,371.4,367.8,281.6,195.6,325.0
11232,274.4,249.7,312.0,254.4,335.0,45.0,188.7,219.5,234.8
112320,274.4,249.7,312.0,254.4,335.0,45.0,188.7,219.5,234.8
11234,586.6,636.7,571.4,519.9,524.2,686.9,641.5,477.7,580.6
112340,586.6,636.7,571.4,519.9,524.2,686.9,641.5,477.7,580.6
11239,102.1,87.1,55.1,20.8,32.2,50.5,39.0,6.8,49.2
112390,102.1,87.1,55.1,20.8,32.2,50.5,39.0,6.8,49.2
1124,3.1,5.4,14.0,31.6,22.5,18.5,35.2,50.6,22.6
11241,4.2,4.5,8.8,16.7,22.8,3.6,11.0,30.0,12.7
112410,4.2,4.5,8.8,16.7,22.8,3.6,11.0,30.0,12.7
11242,1.0,0.9,5.2,15.0,0.3,14.9,24.2,20.6,10.3
112420,1.0,0.9,5.2,15.0,0.3,14.9,24.2,20.6,10.3
1125,35.8,44.4,28.1,3.7,40.7,1.4,41.4,5.3,25.1
11251,35.8,44.4,28.1,3.7,40.7,1.4,41.4,5.3,25.1
112511,33.3,39.5,28.8,1.7,34.3,13.1,5.2,1.9,19.7
112519,2.4,4.9,0.7,2.0,6.4,11.7,46.6,3.4,9.8
1129,296.2,252.8,256.9,298.5,312.1,384.9,371.1,343.2,314.5
11291,45.6,57.0,51.0,27.4,29.1,43.7,25.1,48.0,40.8
112910,45.6,57.0,51.0,27.4,29.1,43.7,25.1,48.0,40.8
11292,196.2,162.7,173.2,159.6,154.2,155.6,162.7,135.6,162.5
112920,196.2,162.7,173.2,159.6,154.2,155.6,162.7,135.6,162.5
11299,145.6,147.0,134.7,111.4,128.8,185.6,183.3,159.5,149.5
