,2014,2015,2016,2017,2018,2019,2020,2021
113110,-1.0,2.0,19.17171254428575,-3.9727545139557776,-2.493363577892226,-1.0173219599950292,0.6186698097966445,3.5
113210,,,,,,,,3.5
113310,-3.0,-3.0,0.8282874557142534,8.972754513955781,9.493363577892225,3.0173219599950336,-9.618669809796643,0.0
115112,-0.1393901175081691,3.2124852054486404,3.273122222496867,5.0,3.293488633353797,2.804627795155504,2.9070771468786396,-1.2080947312299593
115114,10.524612808330257,2.8080358481117242,2.154674079749763,0.5506947677577267,7.614737059790253,2.804627795155504,2.9070771468786396,2.1123329247381144
115115,,,,,3.293488633353797,2.804627795155504,2.9070771468786396,5.0
115116,,,,,,,2.9070771468786396,5.0
115210,4.0,2.0,0.0,-2.0,0.0,5.0,-4.0,1.0
115310,-2.3852226908220873,1.9794789464396372,1.5722036977533715,-1.5506947677577259,-1.2017143264978483,-1.2185111806220155,-1.6283085875145602,-3.9042381935081547
212313,-17.837812955511772,-9.450039674853997,0.156005530118847,-6.91866718417667,-24.878741443019692,-53.97988935101456,-65.91308182060753,-89.19315726683402
212319,-3.4031440330891396,-4.749373558450145,-10.156005530118854,4.936872976008207,6.878741443019685,54.97988935101456,69.91308182060752,83.193157266834
212324,,,,-6.300962911402809,10.406097256076798,5.874939981060191,15.618554818645151,64.58027214654143
212325,,,34.64783569624301,5.0,,,,
212391,,,,,,,1.6220778348497888,-15.610914676152127
212399,,,,,,,,-15.610914676152127
213111,31.120478494300453,10.715494384006949,22.485207240744515,,,,,
213112,-3.8795215056995467,0.4839188492971829,-53.13304293698748,2.2827571195712792,-12.406097256076805,-5.874939981060187,-7.862710488344739,-24.358442794237234
221111,,,,,,,,0.0
221112,-21.860292030778794,44.65660849372904,-33.03859004198351,210.36630181546263,-20.267084583010092,2.6354666413314405,0.4999999999999991,0.0
221114,,-31.34339150627096,-72.03859004198351,-102.63369818453735,-142.83086531672615,-6.6354666413314405,-2.0,-3.0
221117,,-31.34339150627096,5.0,,,,,
221118,,,,,,,0.4999999999999991,0.0
221121,,,,,,,459.27858415159966,400.89161921698036
221122,-3.932720952082036,220.94278868079027,459.02061955538466,260.4177847985493,522.3411728471508,517.7396727928156,-45.319037828585124,-7.175700385554137
221210,-31.0,-15.0,-3.0,-12.0,17.0,-26.0,-28.0,-13.0
221310,-3.0,-3.0,-266.9434394714175,-351.150388429475,-301.2432229474146,-407.73967279281544,-407.9595463230151,-404.71591883142645
221320,-11.206987017139177,-25.91261416197782,,,,,,
236115,-258.0,-59.0,6.0,-151.0,-87.0,3.0,-52.0,-121.0
236116,-8.0,-26.0,-19.0,-6.0,10.0,-7.0,20.0,1.0
236117,-1.0,1.0,-7.0,-33.0,-34.0,16.0,2.0,-22.0
236118,-70.0,-10.0,-49.0,0.0,3.0,-7.0,-58.0,-94.0
236210,-16.0,-9.0,-17.0,-97.0,31.0,-82.0,43.0,-11.0
236220,-92.0,-45.0,-47.0,-171.0,-29.0,-38.0,69.0,-9.0
237110,-57.40133098063097,50.36731210213452,26.564876575943913,-22.41934344757874,-50.09473661450011,8.688844603842085,0.0459330609371591,17.0
237120,-36.59866901936902,-51.367312102134434,-21.56487657594392,1.4193434475788145,-1.9052633854997012,-56.68884460384206,-51.045933060937244,-1.0
237130,-56.0,-60.0,-82.0,-9.0,20.0,20.0,-4.0,-27.0
237210,-25.0,-71.0,-45.0,-101.0,35.0,7.0,124.0,34.0
237310,64.0,-5.0,-32.0,-68.0,-53.0,-57.0,39.0,119.0
237990,-10.0,-2.0,5.0,0.0,-53.0,49.0,-35.0,1.0
311111,158.40954344614852,241.1745833740173,253.18346805499982,-126.40961010721622,-256.0315991724054,81.10767159196604,190.43222768939043,118.32529778057528
311119,-255.59045655385148,-279.99509451785957,-72.81653194500018,-173.40961010721622,-138.541292728907,-26.745359299308923,-14.436575130722687,-25.354000398025548
311225,,-108.63683924158842,-108.66590010675819,-108.43322202006152,-202.1178090006605,-17.778020989348647,-15.51808678672461,-51.98564869127486
311340,0.96381129008053,-8.40485733723244,0.9017115402516591,-0.6423184415476424,8.953569276162732,22.0,7.551207492853222,-0.42415424011928504
311351,-5.0,-5.0,3.0,0.0,-4.851182100017937,-10.499890076770896,-0.5512074928532265,-0.5758457598807176
311352,4.036188709919475,4.40485733723245,-2.901711540251659,-1.3576815584523558,-10.102387176144799,-11.5001099232291,-14.0,-16.0
311411,,,,,,,-20.481986070907823,-22.007256635258805
311412,37.417299811388375,103.25697913082566,119.84819763699838,148.50109580837363,257.86369463770495,285.57590673198933,95.63410240472567,-158.7254160620177
311421,-30.41729981138826,-103.2569791308257,-126.84819763699835,-148.50109580837358,-272.8636946377049,-249.57590673198933,-83.15211633381779,110.73267269727654
311511,,-274.65343669594927,-265.2573386087797,-350.2615143863762,-134.23326532666385,,-84.0715918646901,-38.00246099068602
