,2014,2015,2016,2017,2018,2019,2020,2021
113110,-1.0,2.0,19.167362067012288,-3.97314474799685,-2.4935727162282673,-1.0174381185664725,-0.079399584614678,3.5000000000538445
113210,,,,,,,,3.499999999946195
113310,-3.0,-3.0,0.8326379329877227,8.973144747996848,9.493572716228282,3.01743811856646,-8.920600415385458,0.0
115112,-0.13916875677367369,3.2135181902300083,3.275439166615011,5.0,3.2932631873407257,2.8045971059214745,2.805002505618049,-1.2080463754602047
115114,10.524172133270083,2.806504577026599,2.14850967938626,0.5503791019006075,7.614915021019107,2.8045971059214745,2.805002505618049,2.112240029525805
115115,,,,,3.2932631873407257,2.8045971059214745,2.805002505618049,5.0
115116,,,,,,,2.805002505618049,5.0
115210,4.0,2.0,0.0,-2.0,0.0,5.0,-4.0,1.0
115310,-2.3850033764965124,1.9799772327432836,1.5760511539987432,-1.550379101900611,-1.201441395700522,-1.2183884236859228,-1.2200100224723514,-3.9041936540654785
212313,-17.8364052069672,-9.437421821223296,0.18261559418144202,-6.918536920991897,-24.879053109726257,-53.98044207075628,-65.61255140402905,-89.19370537152213
212319,-3.4037445549782337,-4.755667093163275,-10.18261559418145,4.93675835801265,6.879053109726289,54.98044207075628,69.61255140402903,83.19370537152217
212324,,,,-6.30110508507347,10.405737141137209,5.8747406016277814,15.10034621630778,64.57942717254377
212325,,,34.632495982987706,5.0,,,,
212391,,,,,,,1.1342633624724883,-15.610726996772584
212399,,,,,,,,-15.610726996772584
213111,31.12007488097261,10.709564410896714,22.452185798588836,,,,,
213112,-3.8799251190273925,0.48352450348960474,-53.084681781576435,2.282883648052696,-12.405737141137159,-5.8747406016278205,-6.368872941253102,-24.357973178998236
221111,,,,,,,,2.6645352591003757e-15
221112,-21.857256855128483,44.63232746022475,-33.14304701840979,210.36927780828125,-20.266566315189362,2.635223198893006,0.5000000000000684,2.6645352591003757e-15
221114,,-31.36767253977525,-72.14304701840982,-102.63072219171873,-142.82687251886676,-6.635223198893012,-2.0,-3.0
221117,,-31.36767253977525,5.0,,,,,
221118,,,,,,,0.4999999999999236,2.6645352591003757e-15
221121,,,,,,,458.9288053397347,400.8926900713459
221122,-3.937446339577491,221.0448120025535,459.62553909203916,260.4027429531502,522.3287565291976,517.7294381754862,-47.11467889236815,-7.186646948922771
221210,-31.0,-15.0,-3.0,-12.0,17.0,-26.0,-28.0,-13.0
221310,-3.0,-3.0,-267.3394450552192,-351.14129856971255,-301.23531769514085,-407.7294381754863,-405.81412644736736,-404.70604312242193
221320,-11.205296805294815,-25.94179438322889,,,,,,
236115,-258.0,-59.0,6.0,-151.0,-87.0,3.0,-52.0,-121.0
236116,-8.0,-26.0,-19.0,-6.0,10.0,-7.0,20.0,1.0
236117,-1.0,1.0,-7.0,-33.0,-34.0,16.0,2.0,-22.0
236118,-70.0,-10.0,-49.0,0.0,3.0,-7.0,-58.0,-94.0
236210,-16.0,-9.0,-17.0,-97.0,31.0,-82.0,43.0,-11.0
236220,-92.0,-45.0,-47.0,-171.0,-29.0,-38.0,69.0,-9.0
237110,-57.40132382167127,50.4043547584522,26.617823170047643,-22.418882518372186,-50.094764832282635,8.686237385066192,0.537750355178332,17.0
237120,-36.5986761783291,-51.40435475845253,-21.617823170047515,1.4188825183721825,-1.9052351677172368,-56.68623738506638,-51.53775035517887,-1.0
237130,-56.0,-60.0,-82.0,-9.0,20.0,20.0,-4.0,-27.0
237210,-25.0,-71.0,-45.0,-101.0,35.0,7.0,124.0,34.0
237310,64.0,-5.0,-32.0,-68.0,-53.0,-57.0,39.0,119.0
237990,-10.0,-2.0,5.0,0.0,-53.0,49.0,-35.0,1.0
311111,158.419769493229,241.08606628979314,252.9968438741912,-126.40190710774513,-256.0218586645094,81.10481423387182,191.68196420008368,118.32105520847756
311119,-255.580230506771,-280.2332545575954,-73.0031561258088,-173.40190710774513,-138.5361006301261,-26.744568128942056,-14.88629602933155,-25.35307665534622
311225,,-108.72041436445507,-108.84135798128287,-108.41828630552419,-202.10743469849336,-17.777100389084126,-15.906159704697416,-51.983989276565566
311340,0.9629952189810309,-8.410523254084955,0.8933053668695052,-0.6430698993089514,8.953104162160201,22.0,6.973758187653595,-0.4242109786551387
311351,-5.0,-5.0,3.0,0.0,-4.851131964405475,-10.499938211842665,0.0262418123462691,-0.575789021344713
311352,4.037004781018851,4.410523254084806,-2.893305366869498,-1.3569301006910592,-10.101972197754701,-11.500061788157343,-14.0,-16.0
311411,,,,,,,-20.843262604329727,-22.006187815405163
311412,37.4197983486429,103.21768300358409,119.77812696256296,148.50223882583103,257.86593160266233,285.5783261464773,95.87871640109603,-158.7257498063326
311421,-30.41979834864287,-103.21768300358417,-126.77812696256296,-148.502238825831,-272.86593160266216,-249.5783261464773,-83.0354537967664,110.73193762173798
311511,,-274.9081264116179,-265.68954658514,-350.2489370700449,-134.2280521994001,,-83.71209878823429,-38.00271820450829
311513,-0.8617926218562957,-130.90812641161784,-104.68954658513991,-102.24893707004492,49.866816228662685,114.41180806469808,-9.25448797060362,-5.343357830589063
311514,,,,,,,,-5.343357830589063
311520,-127.05261078105895,55.96625409676162,132.79525509075057,-155.55578117169625,-127.23071253791463,-33.80604532676155,-42.0167620025197,36.689433865686524
311612,-33.8248681499577,-36.22959689137428,-4.546613334104421,-156.11931609585375,-157.93395241895763,-155.05471890883612,-99.84065768501421,-65.40937097991267
311615,37.824868149957666,30.229596891374246,-0.45338666589555743,147.11931609585378,165.9339524189577,166.05471890883615,99.84065768501421,74.40937097991272
311710,-87.23811562792883,-108.72041436445507,-114.84135798128287,15.0,,-86.77710038908413,-21.906159704697416,-41.983989276565566
311811,-97.0,-66.0,-33.0,-48.0,-17.0,-85.0,-99.0,-46.0
311812,-5.0,4.0,-9.0,3.0,6.0,-138.9974979782147,-53.61330118252022,-90.97673199573
311813,,,,,,136.9974979782146,38.61330118252015,63.97673199573032
311821,142.6085517666986,188.0916685925387,129.31878619591774,-70.50000000005474,198.86010974022423,255.142584583267,209.6203418319125,185.2676513361881
